,stars,topics,days,forks_count,language_AsciiDoc,language_Assembly,language_Batchfile,language_C,language_C#,language_C++,language_CSS,language_Clojure,language_CoffeeScript,language_Dart,language_Dockerfile,language_Elixir,language_Emacs Lisp,language_Go,language_HTML,language_Haskell,language_Java,language_JavaScript,language_Jinja,language_Julia,language_Jupyter Notebook,language_Kotlin,language_Lua,language_Makefile,language_Markdown,language_Nunjucks,language_OCaml,language_Objective-C,language_Objective-C++,language_PHP,language_Python,language_Roff,language_Ruby,language_Rust,language_SCSS,language_Scala,language_Shell,language_Standard ML,language_Swift,language_TeX,language_TypeScript,language_V,language_Vim Script,language_Vim script,language_Vue,language_Zig
stars,1,0.065603574,0.052554999,0.663517604,-0.016066023,0.019379972,-0.010737015,-0.015530614,-0.018415631,-0.01449234,-0.008965473,0.018774755,-0.018019528,0.064147175,0.019548212,-0.023803897,-0.013699956,-0.038039736,-0.054482453,-0.018924977,-0.027552453,0.00106475,-0.009899033,0.005326093,-0.033139815,-0.025017379,-0.023559458,-0.008801868,0.039228192,0.021202744,-0.01439113,-0.021880296,-0.016553595,-0.029964437,0.028075296,-0.007276856,-0.027362655,-0.020287389,-0.022017056,-0.001636016,0.016475199,-0.014734039,-0.04658226,-0.01298421,0.038249214,-0.005419794,0.011261232,-0.016156752,0.005528926,-0.002907991
topics,0.065603574,1,-0.198446876,-0.037685914,-0.037752383,-0.015223537,-0.015223537,-0.023402045,0.023809314,0.02364817,-0.049753389,0.030258994,-0.037752383,0.054980014,-0.037752383,-0.033493496,-0.009591325,0.04195007,-0.105867307,0.006155694,0.002331681,-0.031571617,0.024201945,0.00730531,-0.009645465,-0.050501197,0.049176203,-0.029508965,0.04521515,-0.003959113,-0.037752383,-0.034107872,-0.037752383,-0.023998853,0.022546651,-0.02648796,-0.01292277,0.046105025,0.010336341,0.00730531,0.011569738,-0.037752383,0.019206968,-0.067155376,0.103358703,-0.015223537,-0.009586312,-0.062198355,0.078680587,0.029834156
days,0.052554999,-0.198446876,1,0.15336867,0.021299447,0.014022676,0.048579599,0.11026496,-0.020003659,0.011062935,0.03202476,0.008296174,0.034583425,-0.033060195,-0.029483128,0.047311299,0.028638148,-0.013935968,-0.028318322,0.058455922,0.004179284,0.142741283,-0.009882293,0.047433894,-0.089587004,0.035775857,-0.001550148,-0.020313456,-0.029087457,0.038299224,0.007581959,0.068380971,0.014146535,0.160009043,-0.068616676,0.032013332,0.12820979,-0.110440722,-0.018933359,0.015199345,0.025121293,-0.029606988,-0.020855735,-0.040756955,-0.134240836,-0.040816313,0.010223929,0.062661297,-0.074330067,-0.065464441
forks_count,0.663517604,-0.037685914,0.15336867,1,-0.005082789,0.000124947,-0.003476495,0.022898523,-0.023681697,0.052468517,-0.018386615,-0.016971736,-0.013881063,0.026373004,-0.007935595,-0.020841081,-0.00663457,-0.075594459,-0.015546387,-0.031318461,0.109551298,-0.055935048,-0.016737504,-0.006474668,0.086172963,0.001978114,-0.029965079,-0.005538529,0.018484506,0.014007396,-0.017820481,0.000941087,-0.013935576,0.015957411,0.06230161,-0.015349259,-0.005653773,-0.085290219,-0.021753784,0.069958754,-0.035746695,-0.009047645,-0.051411672,0.00629185,-0.051047746,-0.017853188,-0.013248938,-0.018681323,0.017550041,-0.021883459
language_AsciiDoc,-0.016066023,-0.037752383,0.021299447,-0.005082789,1,-0.000981354,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_Assembly,0.019379972,-0.015223537,0.014022676,0.000124947,-0.000981354,1,-0.000981354,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_Batchfile,-0.010737015,-0.015223537,0.048579599,-0.003476495,-0.000981354,-0.000981354,1,-0.005546201,-0.003418009,-0.00740664,-0.003418009,-0.001388526,-0.000981354,-0.001701426,-0.000981354,-0.001388526,-0.000981354,-0.008951636,-0.004758053,-0.001701426,-0.008633263,-0.016997842,-0.000981354,-0.000981354,-0.003559343,-0.003559343,-0.002198694,-0.001388526,-0.001701426,-0.000981354,-0.000981354,-0.002198694,-0.000981354,-0.00369554,-0.010891522,-0.000981354,-0.004198704,-0.004758053,-0.001388526,-0.000981354,-0.004651135,-0.000981354,-0.004198704,-0.001965604,-0.010611994,-0.000981354,-0.001388526,-0.001701426,-0.002785272,-0.000981354
language_C,-0.015530614,-0.023402045,0.11026496,0.022898523,-0.005546201,-0.005546201,-0.005546201,1,-0.01931715,-0.041859209,-0.01931715,-0.007847364,-0.005546201,-0.009615743,-0.005546201,-0.007847364,-0.005546201,-0.050590878,-0.02689051,-0.009615743,-0.048791569,-0.096064646,-0.005546201,-0.005546201,-0.020115908,-0.020115908,-0.012426095,-0.007847364,-0.009615743,-0.005546201,-0.005546201,-0.012426095,-0.005546201,-0.020885637,-0.061554293,-0.005546201,-0.023729309,-0.02689051,-0.007847364,-0.005546201,-0.026286258,-0.005546201,-0.023729309,-0.011108767,-0.059974523,-0.005546201,-0.007847364,-0.009615743,-0.015741186,-0.005546201
language_C#,-0.018415631,0.023809314,-0.020003659,-0.023681697,-0.003418009,-0.003418009,-0.003418009,-0.01931715,1,-0.025796969,-0.011904762,-0.004836169,-0.003418009,-0.005925984,-0.003418009,-0.004836169,-0.003418009,-0.031178116,-0.016572068,-0.005925984,-0.030069239,-0.059202663,-0.003418009,-0.003418009,-0.01239702,-0.01239702,-0.007657947,-0.004836169,-0.005925984,-0.003418009,-0.003418009,-0.007657947,-0.003418009,-0.012871388,-0.037934643,-0.003418009,-0.014623885,-0.016572068,-0.004836169,-0.003418009,-0.01619968,-0.003418009,-0.014623885,-0.006846104,-0.036961064,-0.003418009,-0.004836169,-0.005925984,-0.009700968,-0.003418009
language_C++,-0.01449234,0.02364817,0.011062935,0.052468517,-0.00740664,-0.00740664,-0.00740664,-0.041859209,-0.025796969,1,-0.025796969,-0.010479714,-0.00740664,-0.012841284,-0.00740664,-0.010479714,-0.00740664,-0.067561274,-0.035910765,-0.012841284,-0.065158398,-0.128288935,-0.00740664,-0.00740664,-0.026863665,-0.026863665,-0.016594352,-0.010479714,-0.012841284,-0.00740664,-0.00740664,-0.016594352,-0.00740664,-0.027891595,-0.082202299,-0.00740664,-0.031689159,-0.035910765,-0.010479714,-0.00740664,-0.035103821,-0.00740664,-0.031689159,-0.014835133,-0.080092605,-0.00740664,-0.010479714,-0.012841284,-0.021021469,-0.00740664
